main_genre,occurrences,theme_weight
rock,42009,0.941845289
pop,24800,0.941918457
country,18982,0.952788712
jazz,17103,0.951218821
r&b,15960,0.943549305
hip hop,9643,0.930914022
reggae,6375,0.947808398
folk,5589,0.947580715
metal,5587,0.940086517
blues,3615,0.946352645
punk,3293,0.940192363
eletronica,986,0.937390517
religious,572,0.918144011
