artist_name,specific_genre
lloyd price,new orleans blues
lloyd price,rhythm and blues
lloyd price,rock-and-roll
lloyd price,rockabilly
tony dallara,classic italian pop
rania,k-pop girl group
ira ironstrings,space age pop
brenda lee,adult standards
brenda lee,brill building pop
brenda lee,easy listening
brenda lee,lounge
brenda lee,rockabilly
brenda lee,vocal jazz
connie francis,adult standards
connie francis,brill building pop
connie francis,easy listening
connie francis,lounge
connie francis,rock-and-roll
connie francis,rockabilly
connie francis,vocal jazz
the brothers four,adult standards
the brothers four,american folk revival
the brothers four,brill building pop
the brothers four,easy listening
the brothers four,lounge
the brothers four,vocal harmony group
the flamingos,brill building pop
the flamingos,doo-wop
the flamingos,rhythm and blues
ritchie valens,adult standards
ritchie valens,brill building pop
ritchie valens,rock-and-roll
ritchie valens,rockabilly
dion & the belmonts,adult standards
dion & the belmonts,brill building pop
dion & the belmonts,doo-wop
dion & the belmonts,rhythm and blues
dion & the belmonts,rock-and-roll
dion & the belmonts,rockabilly
the byrds,art rock
the byrds,beatlesque
the byrds,blues rock
the byrds,brill building pop
the byrds,classic rock
the byrds,cosmic american
the byrds,country rock
the byrds,folk
the byrds,folk rock
the byrds,mellow gold
the byrds,psychedelic rock
the byrds,rock
the byrds,roots rock
the byrds,soft rock
simon & garfunkel,classic rock
simon & garfunkel,folk
simon & garfunkel,folk rock
simon & garfunkel,melancholia
simon & garfunkel,mellow gold
simon & garfunkel,rock
fats domino,adult standards
fats domino,brill building pop
fats domino,louisiana blues
fats domino,lounge
fats domino,new orleans blues
fats domino,piano blues
fats domino,rhythm and blues
fats domino,rock-and-roll
fats domino,rockabilly
fats domino,soul
"blood, sweat & tears",album rock
"blood, sweat & tears",art rock
"blood, sweat & tears",blues rock
"blood, sweat & tears",bubblegum pop
"blood, sweat & tears",classic rock
"blood, sweat & tears",country rock
"blood, sweat & tears",folk
"blood, sweat & tears",folk rock
"blood, sweat & tears",jazz rock
"blood, sweat & tears",mellow gold
"blood, sweat & tears",psychedelic rock
"blood, sweat & tears",soft rock
"blood, sweat & tears",symphonic rock
sam cooke,adult standards
sam cooke,brill building pop
sam cooke,classic soul
sam cooke,rock-and-roll
sam cooke,soul
miriam makeba,afropop
miriam makeba,south african jazz
miriam makeba,world
miriam makeba,xhosa
patti page,adult standards
patti page,brill building pop
patti page,easy listening
patti page,lounge
patti page,vocal jazz
brook benton,adult standards
brook benton,brill building pop
brook benton,motown
brook benton,rhythm and blues
brook benton,rock-and-roll
brook benton,soul
brook benton,southern soul
the moody blues,album rock
the moody blues,art rock
the moody blues,british invasion
the moody blues,classic rock
the moody blues,country rock
the moody blues,flute rock
the moody blues,folk
the moody blues,folk rock
the moody blues,hard rock
the moody blues,mellow gold
the moody blues,progressive rock
the moody blues,psychedelic rock
the moody blues,rock
the moody blues,soft rock
the moody blues,symphonic rock
ike & tina turner,brill building pop
ike & tina turner,classic soul
ike & tina turner,funk
ike & tina turner,motown
ike & tina turner,rock-and-roll
ike & tina turner,soul
ike & tina turner,southern soul
si zentner,easy listening
si zentner,exotica
si zentner,jazz trombone
si zentner,lounge
si zentner,space age pop
frankie avalon,adult standards
frankie avalon,brill building pop
frankie avalon,bubblegum pop
frankie avalon,doo-wop
frankie avalon,rock-and-roll
frankie avalon,rockabilly
eden ahbez,exotica
eden ahbez,lounge
eden ahbez,outsider
eden ahbez,space age pop
bobby vee,adult standards
bobby vee,brill building pop
bobby vee,bubblegum pop
bobby vee,doo-wop
bobby vee,merseybeat
bobby vee,rock-and-roll
bobby vee,rockabilly
joan baez,american folk revival
joan baez,folk
joan baez,folk rock
joan baez,singer-songwriter
johnny burnette,adult standards
johnny burnette,brill building pop
johnny burnette,rock-and-roll
johnny burnette,rockabilly
chubby checker,adult standards
chubby checker,brill building pop
chubby checker,bubblegum pop
chubby checker,rock-and-roll
chubby checker,rockabilly
the shirelles,adult standards
the shirelles,brill building pop
the shirelles,classic girl group
the shirelles,classic soul
the shirelles,doo-wop
the shirelles,motown
the shirelles,rhythm and blues
the shirelles,rock-and-roll
the shirelles,rockabilly
the shirelles,soul
brian hyland,adult standards
brian hyland,brill building pop
brian hyland,bubblegum pop
brian hyland,folk rock
brian hyland,merseybeat
brian hyland,rock-and-roll
brian hyland,rockabilly
ben e. king,adult standards
ben e. king,brill building pop
ben e. king,motown
ben e. king,quiet storm
ben e. king,rock-and-roll
ben e. king,soul
ben e. king,southern soul
judy collins,american folk revival
judy collins,folk
judy collins,folk rock
judy collins,mellow gold
judy collins,singer-songwriter
the miracles,brill building pop
the miracles,classic soul
the miracles,funk
the miracles,motown
the miracles,quiet storm
the miracles,rock-and-roll
the miracles,soul
the miracles,southern soul
del shannon,adult standards
del shannon,brill building pop
del shannon,bubblegum pop
del shannon,folk rock
del shannon,merseybeat
del shannon,rock-and-roll
del shannon,rockabilly
little richard,adult standards
little richard,brill building pop
little richard,classic rock
little richard,rock-and-roll
little richard,rockabilly
little richard,soul
sue thompson,adult standards
sue thompson,brill building pop
sue thompson,rock-and-roll
najat al saghira,classic arab pop
roy orbison,adult standards
roy orbison,brill building pop
roy orbison,bubblegum pop
roy orbison,classic rock
roy orbison,mellow gold
roy orbison,rock-and-roll
roy orbison,rockabilly
the marvelettes,brill building pop
the marvelettes,classic girl group
the marvelettes,classic soul
the marvelettes,motown
the marvelettes,rhythm and blues
the marvelettes,soul
the marvelettes,southern soul
mary wells,brill building pop
mary wells,classic soul
mary wells,funk
mary wells,motown
mary wells,soul
steve lawrence,adult standards
steve lawrence,brill building pop
steve lawrence,deep adult standards
steve lawrence,easy listening
steve lawrence,lounge
dee clark,brill building pop
dee clark,chicago soul
dee clark,doo-wop
dee clark,rhythm and blues
dee clark,rock-and-roll
dion,canadian pop
dion,dance pop
jerry butler,beach music
jerry butler,brill building pop
jerry butler,chicago soul
jerry butler,classic soul
jerry butler,motown
jerry butler,philly soul
jerry butler,quiet storm
jerry butler,rhythm and blues
jerry butler,soul
shelley fabares,brill building pop
the lettermen,adult standards
the lettermen,brill building pop
the lettermen,bubblegum pop
the lettermen,easy listening
the lettermen,lounge
the lettermen,soft rock
the lettermen,vocal harmony group
the supremes,brill building pop
the supremes,classic girl group
the supremes,disco
the supremes,funk
the supremes,motown
the supremes,quiet storm
the supremes,soul
timi yuro,adult standards
timi yuro,brill building pop
little eva,brill building pop
little eva,doo-wop
little eva,rhythm and blues
little eva,rock-and-roll
pat boone,adult standards
pat boone,brill building pop
pat boone,easy listening
pat boone,lounge
pat boone,rock-and-roll
pat boone,rockabilly
pat boone,vocal jazz
johnny tillotson,adult standards
johnny tillotson,brill building pop
johnny tillotson,bubblegum pop
johnny tillotson,doo-wop
johnny tillotson,merseybeat
johnny tillotson,nashville sound
johnny tillotson,rock-and-roll
johnny tillotson,rockabilly
dee dee sharp,brill building pop
